nombre_region;codigo_region;nombre_comuna;codigo_comuna;lista;pacto;nombres;primer_apellido;votos;genero
Atacama;3;Diego de Almagro;3202;A;POR CHILE, SEGUIMOS;JORGE EDUARDO;CAMPOS;441;masculino
Atacama;3;Diego de Almagro;3202;G;VERDES LIBERALES POR UNA COMUNA SEGURA;YORKA ROSSINA;RIFFO;277;femenino
Atacama;3;Diego de Almagro;3202;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;MARCO ANTONIO;GARRIDO;455;masculino
Atacama;3;Diego de Almagro;3202;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;LUIS GUILLERMO;CASTRO;407;masculino
Atacama;3;Freirina;3303;A;POR CHILE, SEGUIMOS;CLAUDIO ALFREDO;LAZCANO;381;masculino
Atacama;3;Freirina;3303;E;CHILE VAMOS UDI-EVOPOLI E INDEPENDIENTES;CLAUDIA;JOFRE;238;femenino
Atacama;3;Freirina;3303;R;CENTRO DEMOCRATICO;ADOLFO NICOLAS;CEPEDA;329;masculino
Atacama;3;Freirina;3303;U;CHILE MUCHO MEJOR;DONALD NICOLAS;ESBRY;1005;masculino
Atacama;3;Freirina;3303;U;CHILE MUCHO MEJOR;JUAN HECTOR;VEGA;312;masculino
Atacama;3;Freirina;3303;U;CHILE MUCHO MEJOR;JOSE;ARAYA;296;masculino
Atacama;3;Huasco;3304;A;POR CHILE, SEGUIMOS;RAFAEL ALEJANDRO;CAMPOS;490;masculino
Atacama;3;Huasco;3304;E;CHILE VAMOS UDI-EVOPOLI E INDEPENDIENTES;JAVIERA;GALLO;811;femenino
Atacama;3;Huasco;3304;E;CHILE VAMOS UDI-EVOPOLI E INDEPENDIENTES;VICTOR HUGO;CABALLERO;477;masculino
Atacama;3;Huasco;3304;G;VERDES LIBERALES POR UNA COMUNA SEGURA;VIRGINIA DEL TRANSITO;VILLALOBOS;502;femenino
Atacama;3;Huasco;3304;U;CHILE MUCHO MEJOR;JAIRO;MADRID;322;masculino
Atacama;3;Huasco;3304;U;CHILE MUCHO MEJOR;MARIA;ELIZALDE;338;femenino
Atacama;3;Tierra Amarilla;3103;A;POR CHILE, SEGUIMOS;DELFINA VICTORIA;MARCOLETA;391;masculino
Atacama;3;Tierra Amarilla;3103;G;VERDES LIBERALES POR UNA COMUNA SEGURA;RUBEN;HIDALGO;267;masculino
Atacama;3;Tierra Amarilla;3103;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;IVAN IGNACIO;ROCHA;980;masculino
Atacama;3;Tierra Amarilla;3103;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;MAGALY DEL CARMEN;CORTES;576;femenino
Atacama;3;Tierra Amarilla;3103;U;CHILE MUCHO MEJOR;RAPHAEL DANIEL;CAMPUSANO;507;masculino
Atacama;3;Tierra Amarilla;3103;U;CHILE MUCHO MEJOR;WALTER GUILLERMO;CORTES;781;masculino
