nombre_region;codigo_region;lista;pacto;partido;nombres;primer_apellido;votos;genero
Biobío;8;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;CHRISTOPHER;GENGNAGEL;8143;masculino
Biobío;8;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;IGNACIO;FICA;15633;masculino
Biobío;8;L;TU REGION RADICAL;Independientes;JUAN CARLOS;MEDINA;7271;masculino
Biobío;8;L;TU REGION RADICAL;Independientes;MARCELO ENRIQUE;RIVERA;15159;masculino
Biobío;8;N;LO MEJOR PARA CHILE;Independientes;JAIME;PEÑAILILLO;5673;masculino
Biobío;8;N;LO MEJOR PARA CHILE;Independientes;ROBERTS;CORDOVA;8928;masculino
Biobío;8;N;LO MEJOR PARA CHILE;Partido Por la Democracia;FRANCISCO JAVIER;REYES;8710;masculino
Biobío;8;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;JUAN CARLOS ANDRES;VILLANUEVA;9133;masculino
Biobío;8;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;PEDRO;VENEGAS;4262;masculino
Biobío;8;R;CENTRO DEMOCRATICO;Partido Democratas Chile;ALAN RUBEN;BASTIAS;6834;masculino
Biobío;8;S;FRENTE AMPLIO;Frente Amplio;GONZALO;OSORIO;11648;masculino
